UID,Category,Description,predicted_category,probability
b1ff13ad8a9845f28bd26fbb7e7fb1ea,FRONT-WHEEL, sram sun front wheel bolt black,REAR-WHEEL,0.351443
4a23f17e0ddb4d418b19a6d052dc1966,FRONT-WHEEL, quality wheels value single wall series front wheel silver,WHEELSET,0.634401
d8951a709e974c4b856c34f8e27863c7,FRONT-WHEEL, quality wheels front wheel black,WHEELSET,0.369361
c25e66b896ec4983b5c13f01ac79b7f7,FRONT-WHEEL, quality wheels tcs front wheel bolt black,REAR-WHEEL,0.651181
c5755a73a36d4e7997453ac97e7e7779,FRONT-WHEEL, quality wheels tcs front wheel bolt black,REAR-WHEEL,0.651181
6f6fb1a5254e407e88ea20c7384c1d2e,FRONT-WHEEL, quality wheels value series front wheel black,WHEELSET,0.892828
f8490cf2ea05443589518e061aa58dda,BRAKESET, hydraulic disc rear,BIKE,0.291470
36ab34abbc8b493da20128a7e637eb25,BRAKESET, sram level hydraulic disc rear,BIKE,0.451264
f6d3249fed474c88b4a005725358d05a,BRAKESET, sram level hydraulic disc front,BIKE,0.190913
c545f7a65fb9472f8f78ac6205a841b7,BRAKESET, sram guide hydraulic disc front,BIKE,0.230925
4c7a5f1689894bc284fd06247991129f,TIRE, tire tubeless folding black,WHEELSET,0.449216
4d47936c89a74bb1b1ed0d27e490d588,TIRE, tire tubeless folding black,WHEELSET,0.449216
91d3bbd9606a4c81ac56fed403d04028,TIRE, course tire tubeless folding black,WHEELSET,0.322087
7070ada1d1de44668819a11fd0867285,TIRE, course tire tubeless folding black,WHEELSET,0.322087
be1b0dfd934a4fde8a8d63ff3d4786d4,TIRE, tire tubeless folding,WHEELSET,0.475446
110e970843ee40a9bf12f7c845027038,TIRE, tire tubeless folding black,WHEELSET,0.449216
d2f5e3b1ca934d2da231919bc64ba7f7,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
d05f86fe2c834ace94bb3b6eb74f027c,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
8795d2f7938a4442b37067aa742682dd,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
2f7c5609b0ea4b0bae44ff7b3a5589ad,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
b0d20c7165c34a61904b354b93b95b10,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
c7acfca04c024343a2d27749b7acd80b,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
543e4aa3088a43e2b024e876e675ea7d,TIRE, tire tubeless folding black,WHEELSET,0.449216
dab01161c73141ab93709202e79125fd,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
dd0da1baef1e41fc8a8c5bc9c8dc58e1,TIRE, tire tubeless folding black,WHEELSET,0.449216
ad7d46a7035b4ac4ad4e98dbb628e56a,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
6057f3029f824c5badd4565cd9f1f8f4,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
e334e1ed34484689a836b7eb887d4b55,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
42aa32b377564a2dadca57fe5f08bf34,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
e0d21cc2ebae4a3c9421b9b18c9a57dc,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
d013599a49034fd48ea45a2b1ce28624,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
9ca79b5eb863432580a6be16890da53d,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
258a7f3b1523401eab956b80c1321f86,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
d97885cfb59240d0afc837574b83c216,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
4dd0528169e24eab8c4970046b9aea91,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
26a55deba3ce40839d2532888c7d6f47,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
2cf21ad96f3e4cc288c87d325e814572,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
151b75d7d25c442bb9289f68b9faa33c,TIRE, durable tire tubeless folding black,WHEELSET,0.528583
e45afcdf0f514f3d9a601d5d4d62904c,TIRE, tire tubeless folding black,WHEELSET,0.449216
d952c648d04a4c0190d864f5d0c69a88,TIRE, tire tubeless folding black,WHEELSET,0.449216
2fb8fcb24d7440819710eb1251871006,TIRE, tire tubeless folding black,WHEELSET,0.449216
7b9f58784fe7443c857fb0b1605d9792,TIRE, tire tubeless folding black,WHEELSET,0.449216
fd65bac624cb41819581dce1850681e5,TIRE, enduro tire tubeless folding black,WHEELSET,0.485802
b4e7670c0ddf4fdd972a7aca69f0617c,TIRE, tire tubeless folding,WHEELSET,0.475446
a6c8bccb218a4cd8928556e2630ba413,TIRE, tire tubeless folding,WHEELSET,0.475446
01bec517bc1642c59e0799cf04c6ee38,TIRE, dry tire tubeless folding black,WHEELSET,0.560227
469ea866890b44559357e0f0cedefa74,TIRE, tire tubeless folding,WHEELSET,0.475446
dce47ebb9f7e4bb3a83e58bc8f32c679,TIRE, trail blk blk,STEM,0.086982
19f29ce6c0bf482c975708e5af871da9,TIRE, tire tubeless folding,WHEELSET,0.475446
3f5bf470208e447a973cf580f8b2d8b9,TIRE, zero tire tubeless folding,WHEELSET,0.591863
27c1dc500c774a37bb69e56efb04e666,TIRE, zero tire tubeless folding,WHEELSET,0.591863
69a80fd890fc416fbb22cc6be2b53cd0,TIRE, zero tire tubeless folding,WHEELSET,0.591863
283f9a99ef864ced9efddf484af5aae6,TIRE, dry tire tubeless folding,WHEELSET,0.587590
a93222c8abca473c97a13d5a861179df,TIRE, dry tire tubeless folding,WHEELSET,0.587590
19a7fb3f50134276864fd3ceb49b6cd7,TIRE, pro control tire clincher folding black,WHEELSET,0.530532
0abcfedb93df4a1fa2119fc7f3a4c075,TIRE, pro control tire clincher folding black,WHEELSET,0.530532
68c22f620a1b454086450597dce7fe06,TIRE, pro tire tubeless folding black,WHEELSET,0.704212
8483132f265b442f9b05945d05883a57,TIRE, wtb tire tubeless folding black,WHEELSET,0.378193
1e4c0664152143f29d5462972b021b62,TIRE, wtb tire tubeless folding black,WHEELSET,0.378193
908fba513fdc4c1b8cb063e5485027b6,RIM, wtb tough tcs aluminum rim black,RIM-STRIP-AND-TUBELESS-TAPE,0.326526
c1f5ec8e6ef047f89937e4f22853e126,RIM, aluminum rim black,WHEELSET,0.168584
2ef3f1965a164d18ad326559ae6af58f,RIM, aluminum rim black,WHEELSET,0.168584
206e6fe58f0c4a8a9d10636ef7499ff1,RIM, rolling aluminum rim black,WHEELSET,0.303344
7adc1ab5c6ca48ef887d6f86ac19c6df,RIM, tubes aluminum rim black,WHEELSET,0.262992
8df968015458492a86f128d0ac4a1dee,RIM, tubes aluminum rim black,WHEELSET,0.262992
b4b0c45dc1064f59bebbcbb4b204b9c2,RIM, swiss aluminum rim black,NIPPLE,0.230566
dbe96f73308744f99c9d6ced79bc7b79,RIM, aluminum rim silver,WHEELSET,0.115769
87cbf2528523415a94669d8894f5990a,REAR-WHEEL, quality wheels formula sealed rear wheel silver,BIKE,0.472226
2f6277476e834976a8d4cf0b0be63e5a,REAR-WHEEL, quality wheels value single wall series rear wheel silver,WHEELSET,0.802746
2c829d1e99f44f97a553dbe893291172,REAR-WHEEL, quality wheels value single wall series rear wheel black,WHEELSET,0.792134
5bc8fa7a504a4cf7a515e3798e1e38d1,REAR-WHEEL, quality wheels value single wall series rear wheel black,WHEELSET,0.792134
0c39e955452247c09ad350c382b3b0c4,REAR-WHEEL, quality wheels value series disc rear wheel centerlock black,WHEELSET,0.913648
51a6268d911b4e36a86d9e2482bab2ad,REAR-WHEEL, quality wheels value double wall series rear wheel centerlock black,WHEELSET,0.735129
c0df8f923f8e42deb2288812598f81bc,REAR-WHEEL, quality wheels value series rear wheel black,WHEELSET,0.859129
620c61cd2e864219a276efa68fd3859c,SEATPOST, zipp service course carbon seatpost matte with white,WHEELSET,0.392893
62ec177b4130454a91d9c299cc9bfad6,BOTTOM-BRACKET, sram gxp exi light bottom bracket,CRANKARM,0.389782
add0405b7e2e4654994fc054fc44f795,BOTTOM-BRACKET, shimano dura ace exi light bottom bracket,FRONT-DERAILLEUR,0.592348
e048001dc21c46f6ab285cf2cda53227,BOTTOM-BRACKET, sram gxp gxp bottom bracket,CRANKSET,0.391134
15c50d8cbe7f47579df4d8fb079066bf,BRAKELEVER, shimano hydraulic left black,SHIFT-CONTROLS-LEFT,0.840733
2d44e9e9f15341bdbd3e88097534e8ed,BRAKELEVER, shimano slx hydraulic right black,SHIFT-CONTROLS-RIGHT,0.596287
61700bf1a93b4e1eab42eefb3db9a6b6,PEDAL, shimano carbon clipless pedal black,CRANKSET,0.231426
52b0b334444e42ac96c13110b0d40e97,CASSETTE, speed black,CHAINRING,0.140927
51084d93f8f34686a005eaaae2ca93ae,CASSETTE, dimension speed plated,CHAIN,0.158977
931334db91f54ae7b75bc671d9b743b1,CASSETTE, dimension speed black,CHAINRING,0.119073
b5ea36144bd5417696488e9a01fd03fc,CASSETTE, dimension speed chrome plated,CHAIN,0.284080
bfac7b4ef87f4cc1b7f0fbb96a38222f,CASSETTE, shimano single speed chrome,CHAIN,0.284217
b17981ca238c418ca37452bd5eefc1f8,CASSETTE, shimano single speed chrome,CHAIN,0.284217
161d4486fd5d49eebfa95f7f6e0eeb6d,CASSETTE, shimano speed,SHIFT-CONTROLS-LEFT,0.129612
e309448f0e6c49d7ba823a6508049931,HUB, bolt front hub black,REAR-WHEEL,0.282134
4525887348d14a698ab9dcbb4979f80c,HUB, sram bolt shimano rear hub black,REAR-WHEEL,0.319560
1b9428107c18466a8d9865e8a9ce8d6a,JACKET, men black large,SHORTS,0.161666
6391f797a94d42c58a4a09176149e8d9,JACKET, men navy large,JERSEY,0.167003
9abfd41e89a6498aaf51e4960a5f8266,JACKET, men navy large,JERSEY,0.167003
9974ad31d6ca4dc9a713a7ff995c6d6a,BIKE, roam aluminum mountain large bike black,CAR-RACK,0.179369
140a2f4aaf894b9c961d72d6b1de7de4,BIKE, laser,HEADSET,0.067549
86d00f3cb700439e80de470f192421a2,BIKE, pro aluminum hybrid large bike metallic,CAR-RACK,0.249572
c28363a40df84a0e82ef51cdb480b686,SADDLE, city bike saddle,BIKE,0.217487
07201d4f64b545b5857035c2b55d0f80,T-SHIRT, men short sleeve shirt large,JERSEY,0.581869
f8e863af4a044485bb298d4eba545677,T-SHIRT, trail men short sleeve shirt green black large,JERSEY,0.857803
7eaed49fa26745f3afbef254ae912bf4,T-SHIRT, trail women short sleeve shirt green large,JERSEY,0.887703
c8b49705d1f648b7aa34feb65895afbd,T-SHIRT, trail women short sleeve shirt green medium,JERSEY,0.836137
3ca4391988f8444b86bb7ecbf923ce03,T-SHIRT, men short sleeve shirt large,JERSEY,0.581869
c1193c4a31884334af80b571ff6b1f38,T-SHIRT, men short sleeve shirt large,JERSEY,0.581869
1d2a3cf274364c6f9737afc7c4cefd9b,T-SHIRT, men long sleeve shirt turbulence gold large,JERSEY,0.494292
002e2ef9c96848248c13d911c34707b1,T-SHIRT, men long sleeve shirt large,JERSEY,0.502135
4d4ec38009b64c3b817d8149459bc022,T-SHIRT, men long sleeve shirt large,JERSEY,0.502135
a9bf87f049034573adfff8416357f190,T-SHIRT, men long sleeve shirt navy large,JERSEY,0.539015
0630d5ad1e21407c9bad1624d7a416b0,T-SHIRT, men long sleeve shirt large,JERSEY,0.502135
e1d872bb2d9e443fa89fd3dab31b446e,T-SHIRT, women long sleeve shirt ice blue medium,JERSEY,0.534259
c1196425198242cba526ddcc9976010e,SHORTS, men shorts wet weather,SHOES,0.260803
2f1331f4f5994c949bb2662a3d98dc06,SHORTS, men shorts wet weather,SHOES,0.260803
913740c8d545464292dfb0607f3c37af,HEAD-AND-NECKWEAR, super white medium,JERSEY,0.102464
